#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.
311,The Light & the Glass,Coheed and Cambria,2003,141,66,30,-8,23,9:28,4,44
312,21:13,Coheed and Cambria,2003,75,80,40,-6,37,9:47,1,39
313,Invincible,Pat Benatar,1985-01-01,125,83,56,-11,72,4:29,4,49
314,Love Is A Battlefield,Pat Benatar,1989-01-01,91,71,68,-9,87,5:23,9,50
315,Love Today,MIKA,2007-01-01,124,91,67,-5,63,3:55,3,51
316,Dancing In The Street - 2002 Remastered Version,David Bowie,2002,131,82,60,-14,74,3:25,12,26
317,Modern Love - 1999 Remastered Version,David Bowie,2002,181,89,32,-8,96,4:48,0,33
318,Under Pressure,Queen,2002,113,64,68,-9,53,3:58,24,34
319,Rebel Rebel - 1999 Remastered Version,David Bowie,2002,126,92,68,-8,62,4:29,0,36
320,Ziggy Stardust - 2002 Remastered Version,David Bowie,2002,80,60,46,-10,52,3:13,4,32
321,Space Oddity - 1999 Remastered Version,David Bowie,2002,136,42,31,-13,46,5:16,2,38
322,Life On Mars? - 2015 Remastered Version,David Bowie,1971-12-17,123,38,44,-15,22,3:56,64,72
323,Let's Dance - 1999 Remastered Version,David Bowie,1983-04-14,115,70,62,-9,71,7:37,0,71
324,Shimmer - Single Version,Fuel,2005,115,78,26,-7,39,3:34,0,65
325,Black Creme,Hrvrd,2013-02-20,97,60,28,-9,32,2:36,17,0
326,Throw Shade,CRUISR,2015-07-17,160,80,55,-7,90,2:53,2,0
327,Gates,Speak,2014-06-23,167,96,52,-2,28,3:43,5,0
328,Blackberry Winter,Keith Jarrett,1998-01-01,112,8,40,-21,18,3:41,98,28
329,Good As New,Vacationer,2012-03-20,95,78,51,-5,64,3:24,11,0
330,Jackrabbit,San Fermin,2015-04-24,110,67,69,-5,52,3:40,25,0
331,Flip,Glass Animals,2014-06-03,128,55,65,-9,34,3:43,8,50
332,Black Mambo,Glass Animals,2014-06-03,80,41,68,-11,31,4:09,29,64
333,Pools,Glass Animals,2014-06-03,105,65,68,-9,23,4:49,15,57
334,Gooey,Glass Animals,2014-06-03,183,37,49,-13,11,4:49,74,72
335,Walla Walla,Glass Animals,2014-06-03,186,61,47,-8,56,3:37,0,49
336,Intruxx,Glass Animals,2014-06-03,130,34,41,-13,4,2:49,80,46
337,Hazey,Glass Animals,2014-06-03,90,50,65,-11,40,4:26,0,59
338,Toes,Glass Animals,2014-06-03,73,35,64,-12,25,4:15,41,60
339,Wyrd,Glass Animals,2014-06-03,156,59,55,-10,19,4:06,7,48
340,Cocoa Hooves,Glass Animals,2014-06-03,134,28,53,-14,7,4:32,46,50
341,JDNT,Glass Animals,2014-06-03,149,50,49,-12,23,4:24,17,47
342,Sweetest Kill,Broken Social Scene,2010-05-10,176,39,58,-12,73,5:09,9,1
343,In A Sentimental Mood,Duke Ellington,1963-02,108,24,47,-14,26,4:18,95,7
344,Spectrolite,Bayonne,2016-05-13,130,76,35,-8,26,4:43,59,14
345,Parade Of Punk Rock T-Shirts,Maritime,2006,135,80,66,-8,70,3:27,19,0
346,Lost In The Wild,RVRB,2013-08-09,86,74,39,-7,38,4:43,16,29
347,Phone In A Pool,Ben Folds,2015-09-11,178,36,59,-10,81,4:04,78,0
348,Disobey,Kate Havnevik,2011,118,94,58,-6,54,3:25,1,11
349,Maps,Yeah Yeah Yeahs,2003-04-29,120,93,53,-6,17,3:40,0,10
350,Pases & Passports,Reverie Sound Revue,2009-05-26,165,84,64,-7,78,3:54,1,13
351,Echo,Trapt,2002-11-05,164,84,53,-5,39,4:12,0,54
352,Waiting,Trapt,2005-01-01,171,97,42,-4,33,3:50,0,41
353,Walking Around Waiting Downtown,Reverie Sound Revue,2009-05-26,161,82,56,-8,67,2:48,5,17
354,"Oh, La",Ra Ra Riot,2008-01-01,136,68,52,-8,54,4:42,4,22
355,Suspended In Gaffa,Ra Ra Riot,2008-01-01,108,79,53,-6,57,3:48,2,23
356,Scission,Nothingface,2003-04-22,107,97,51,-2,21,3:05,0,18
357,Oh No!,Marina and the Diamonds,2010-02-15,127,90,78,-4,96,3:00,6,21
358,You Again,Kate Havnevik,2007-03-27,108,42,61,-11,62,3:22,69,0
359,Eyes Wide Open,Gotye,2011-01-01,139,87,60,-6,66,3:11,20,38
360,Blue Light,Bloc Party,2005,156,84,52,-6,62,2:47,1,9
361,Helicopter,Bloc Party,2005,170,95,46,-4,37,3:40,0,27
362,Vitamin R (Leading Us Along),Chevelle,2004-09-21,95,88,48,-5,29,3:43,0,58
363,You Go To My Head,Billie Holiday,2005-01-01,67,7,57,-19,25,2:54,99,27
364,Black Garden (2673 Dundee Pl.),Gabriel Kahane,2014-06-03,95,19,31,-17,36,2:53,96,24
365,Bradbury (304 Broadway),Gabriel Kahane,2014-06-03,91,38,24,-12,18,3:39,77,17
366,Slumlord Crocodile (115 E. 3rd St.),Gabriel Kahane,2014-06-03,118,66,47,-8,65,3:27,39,17
367,Veda (1 Pierce Dr.),Gabriel Kahane,2014-06-03,96,28,53,-14,5,4:13,37,17
368,Empire Liquor Mart (9127 S. Figueroa St.),Gabriel Kahane,2014-06-03,121,17,46,-13,20,9:12,87,33
369,Musso and Frank (6667 Hollywood Blvd),Gabriel Kahane,2014-06-03,128,45,71,-9,19,3:44,60,16
370,Villains (4616 Dundee Dr.),Gabriel Kahane,2014-06-03,102,37,88,-11,56,3:28,51,17
371,Ambassador Hotel (3400 Wilshire Blvd),Gabriel Kahane,2014-06-03,107,10,68,-15,52,3:25,93,19
372,Griffith Park (2800 E. Observatory Ave.),Gabriel Kahane,2014-06-03,102,39,67,-10,42,3:43,72,19
373,Union Station (800 N. Alameda St.),Gabriel Kahane,2014-06-03,100,5,44,-17,14,5:19,95,15
374,Mezzanine,Shields,2012-11-16,125,84,64,-4,83,3:41,2,20
375,(You Can't Blame It On) Anybody,Phoenix,2006-10-16,99,76,86,-5,39,3:34,10,0
376,If She Wants Me,Belle & Sebastian,2003-10-06,90,68,57,-8,81,5:05,29,42
377,Fiasco,Jubilants,2012-11-19,120,86,67,-5,84,3:36,9,8
378,The Fox,Nickel Creek,2000,120,65,64,-8,89,2:30,60,41
379,The House Carpenter (Gypsy Davy),Altan,2015-02-24,100,55,41,-9,82,4:33,82,0
380,The Shores of Lough Ghamhna & Aoibhneas Éiliís Uí Cheallaigh,Deiseal,2012-05-12,130,15,61,-20,85,3:29,86,5
381,The A Minor Set,The Bonny Men,2011-10-12,126,64,44,-8,90,5:53,44,23
382,Come In This Light,From Indian Lakes,2014-10-07,140,50,41,-13,9,2:52,82,0
383,Label This Love,From Indian Lakes,2014-10-07,130,88,57,-8,57,3:43,1,0
384,"Breathe, Desperately",From Indian Lakes,2014-10-07,148,80,57,-8,75,3:58,2,0
385,Sleeping Limbs,From Indian Lakes,2014-10-07,146,73,57,-9,74,3:12,2,0
386,Ghost,From Indian Lakes,2014-10-07,130,66,64,-9,56,3:50,11,0
387,Awful Things,From Indian Lakes,2014-10-07,100,32,66,-11,18,3:33,4,0
388,Runner,From Indian Lakes,2014-10-07,150,46,61,-15,85,3:11,74,0
389,Search For More,From Indian Lakes,2014-10-07,165,72,44,-9,36,3:18,0,0
390,Fog,From Indian Lakes,2014-10-07,158,54,48,-10,25,4:00,17,0
391,Belly of the Deepest Love,Tow'rs,2014-05-16,123,30,74,-12,5,6:21,73,51
392,All We Have Is Now,The Modern Electric,2012-12-05,124,63,61,-8,31,4:04,9,24
393,Moondance,Van Morrison,1970-02,67,28,61,-12,56,4:34,50,66
394,Tranquilize,Finish Ticket,2014-05-16,120,85,60,-5,38,3:50,1,36
395,The Belll,The Olllam,2012-09-25,80,33,69,-14,38,6:48,70,0
396,Woods,Kyle Sanna,2010-01-26,112,20,39,-14,21,5:44,77,0
397,Return Of The Mack,Mark Morrison,1996-04-22,95,83,72,-5,61,3:33,1,74
398,Marcshlua Uí Néill,Seán Ó Riada,2011-12-02,102,73,34,-12,28,3:29,8,0
399,Prayer For Tears,The Olllam,2012-09-25,106,30,68,-14,5,7:19,70,0
400,Umea Strathspey/ The Melt/Flying Reel,Catriona McKay,2013-08-11,109,39,41,-10,29,7:09,66,0
401,So Far So Good (Reels),Dún an Doras,2005-03-17,115,58,41,-7,87,7:30,73,6
402,Worlds on Fire,Zerbin,2015-06-02,127,71,43,-4,60,3:29,0,34
403,Am I Alive,From Indian Lakes,2014-10-07,155,53,56,-11,23,3:14,36,0
404,NO,Meghan Trainor,2016-03-04,94,81,74,-4,63,3:34,1,20
405,Not over You,Fictionist,2014-10-07,104,72,73,-8,74,3:33,1,16
406,Tillery,Becca Stevens Band,2015-04-07,124,60,58,-9,56,5:37,10,12
407,Simarik,Tarkan,2000-05-16,97,87,77,-6,82,3:11,4,30
408,Cosy In The Rocket,Psapp,2005-01-01,119,86,71,-8,91,4:28,35,26
409,Remain,Mutemath,2015-11-13,82,39,39,-5,7,5:52,53,32
410,Magic Hour,Via Luna,2015-07-05,116,71,46,-8,52,6:33,3,32
411,Synthesizers,Butch Walker and The Black Widows,2011-08-29,89,63,39,-7,44,3:25,5,0
412,Slow Dive,Young the Giant,2014-01-17,180,3,8,-23,4,0:48,85,40
413,Anagram,Young the Giant,2014-01-17,90,72,50,-6,36,4:54,3,51
414,It's About Time,Young the Giant,2014-01-17,140,91,51,-4,54,3:48,0,50
415,Crystallized,Young the Giant,2014-01-17,163,88,48,-4,58,4:01,4,50
416,Mind Over Matter,Young the Giant,2014-01-17,155,76,47,-4,29,4:05,0,61
417,Daydreamer,Young the Giant,2014-01-17,178,94,36,-3,35,3:59,0,47
418,Firelight,Young the Giant,2014-01-17,188,28,30,-13,17,5:34,92,50
419,Camera,Young the Giant,2014-01-17,102,60,37,-7,16,5:13,5,45
420,In My Home,Young the Giant,2014-01-17,174,87,36,-5,30,3:40,0,48
421,Eros,Young the Giant,2014-01-17,124,86,68,-5,82,4:11,0,45
422,Teachers,Young the Giant,2014-01-17,170,96,46,-5,31,3:41,0,43
423,Waves,Young the Giant,2014-01-17,162,74,48,-6,38,4:39,0,45
424,Paralysis,Young the Giant,2014-01-17,118,90,53,-5,34,4:36,0,44
425,Babylon,David Gray,1998-11-02,112,54,74,-10,26,4:26,6,62
426,Why'd You Only Call Me When You're High?,Arctic Monkeys,2013-09-09,92,63,69,-6,80,2:41,5,14
427,Was It You,Joy Kills Sorrow,2013-06-04,155,52,55,-10,55,3:39,60,0
428,Get Along,Joy Kills Sorrow,2013-06-04,155,38,68,-10,67,3:35,76,0
429,Such Great Heights,Joy Kills Sorrow,2013-06-04,177,55,59,-11,60,4:13,72,4
430,Gold In The Deep,Joy Kills Sorrow,2013-06-04,128,43,68,-9,59,3:27,80,0
431,Working For The Devil,Joy Kills Sorrow,2013-06-04,132,45,76,-10,56,3:07,78,1
432,Jake,Joy Kills Sorrow,2013-06-04,150,50,70,-9,73,2:42,52,0
433,Enlistee,Joy Kills Sorrow,2013-06-04,118,32,46,-12,15,3:36,87,0
434,Tides,Hey Marseilles,2013-01-01,180,47,25,-7,18,4:22,43,7
435,Apartment,Young the Giant,2011,110,73,57,-7,33,3:56,1,57
436,Make This Leap,The Hunts,2015-06-09,138,40,70,-8,70,3:46,89,47
437,What What What,Caoimhín Ó Raghallaigh,2014-08-15,78,8,27,-17,48,3:05,100,53
438,Boy in Blue,The Eastern Sea,2015-11-13,120,54,46,-6,33,3:58,35,13
439,Light Goes Out,Ages and Ages,2014-03-25,81,68,46,-10,62,3:46,3,33
440,Point to Point,Jon Stickley Trio,2015-10-06,122,55,59,-13,77,5:20,32,33
441,Groping The Dark,Andrew Bird,2015-02-03,168,41,40,-19,36,10:43,97,0
442,Gardermoen,Julia Kent,2007-01-01,128,15,43,-21,9,4:11,85,40
443,Where's Your Heart Gone,Golden Youth,2014-07-07,97,57,63,-9,47,4:10,59,42
444,Waiving to Ryan (The Rolling Waves / The North Star / Sean Ryan's Jig),The Fretless,2014-02-11,128,50,44,-11,89,5:27,88,42
445,Smoothie Song,Nickel Creek,2002,110,52,53,-11,52,3:21,54,43
446,Country,Empire of the Sun,2009-02-23,118,45,45,-10,12,5:04,65,34
447,We Are The People,Empire of the Sun,2009-02-23,123,79,67,-5,55,4:27,10,51
448,Half Mast,Empire of the Sun,2009-02-23,127,74,77,-5,76,3:54,0,50
449,Tiger By My Side,Empire of the Sun,2009-02-23,136,94,57,-6,48,5:48,0,30
450,Swordfish Hotkiss Night,Empire of the Sun,2009-02-23,118,73,85,-5,79,3:56,10,30
451,Walking On A Dream,Empire of the Sun,2009-02-23,127,70,87,-6,73,3:18,25,70
452,Standing On The Shore,Empire of the Sun,2009-02-23,128,88,59,-5,24,4:25,1,46
453,Everything Is Everything,Phoenix,2004-03-22,109,81,70,-8,96,2:59,3,53
454,If I ever feel better,Phoenix,2000-03-06,120,55,76,-9,84,4:27,5,70
455,Everything You Want,Vertical Horizon,1999-06-15,94,76,64,-6,74,4:17,5,65
456,Adventure Of A Lifetime,Coldplay,2015-12-04,112,92,64,-4,53,4:24,0,78
457,Star Of The County Down,The High Kings,1900-01-01,111,66,77,-6,91,3:30,40,37
458,Derezzed,Daft Punk,2010-01-01,120,64,54,-10,13,1:44,0,56
459,Mary Mac,Hair of the Dog,2001-12-18,111,62,41,-9,94,3:04,51,29
460,Green And Gray,Nickel Creek,2002,74,32,43,-11,44,3:37,80,31
461,In Wonder,Punch Brothers,2015-11-20,131,31,42,-10,22,5:46,76,29
462,The Hops of Guldenberg,Punch Brothers,2015-11-20,112,49,59,-11,57,4:53,71,30
463,Sleek White Baby,Punch Brothers,2015-11-20,146,33,54,-10,50,3:35,87,23
464,No More. Yet,Punch Brothers,2015-11-20,146,39,37,-11,43,4:31,76,25
465,Clementine,Punch Brothers,2015-11-20,113,13,61,-17,10,3:27,84,33
466,Shady Grove,Among The Oak & Ash,2009-01-01,118,62,66,-8,52,1:53,33,29
467,Intro,ODESZA,2012-09-05,114,70,66,-13,88,0:34,89,0
468,How Did I Get Here,ODESZA,2012-09-05,96,58,71,-6,37,2:11,39,6
469,I Want You,ODESZA,2012-09-05,179,65,57,-4,29,2:42,49,2
470,Above the Middle,ODESZA,2012-09-05,110,82,49,-4,21,3:03,4,0
471,We Were Young,ODESZA,2012-09-05,110,70,51,-6,28,3:12,44,0
472,Today,ODESZA,2012-09-05,100,89,53,-5,9,4:15,1,2
473,Tuytus,ODESZA,2012-09-05,110,73,29,-4,24,3:16,1,0
474,Rely,ODESZA,2012-09-05,120,88,61,-3,30,3:12,0,0
475,Hey Now,ODESZA,2012-09-05,94,85,56,-4,4,2:28,4,0
476,If You Don't (feat. Cumulus),ODESZA,2012-09-05,118,64,64,-7,11,3:07,21,0
477,Don't Stop,ODESZA,2012-09-05,80,79,40,-4,4,2:48,9,1
478,IPlayYouListen,ODESZA,2012-09-05,125,75,58,-5,31,4:53,2,3
479,Nomadic Firs - Cover Bombs (Odesza Edit),ODESZA,2012-09-05,80,83,66,-3,24,3:30,3,0
480,Real World,Matchbox Twenty,1996-10-01,118,76,50,-5,88,3:52,1,61
481,Long Day,Matchbox Twenty,1996-10-01,104,82,46,-7,60,3:46,0,55
482,3:00 AM,Matchbox Twenty,1996-10-01,108,67,52,-9,54,3:46,1,70
483,Push,Matchbox Twenty,1996-10-01,168,67,42,-8,48,3:59,1,72
484,Girl Like That,Matchbox Twenty,1996-10-01,145,73,59,-8,96,3:45,10,44
485,Back 2 Good,Matchbox Twenty,1996-10-01,89,50,56,-9,48,5:40,11,57
486,Damn,Matchbox Twenty,1996-10-01,80,51,55,-8,68,3:20,2,44
487,Argue,Matchbox Twenty,1996-10-01,115,71,56,-8,81,2:58,0,42
488,Kody,Matchbox Twenty,1996-10-01,95,64,52,-9,55,4:04,0,42
489,Busted,Matchbox Twenty,1996-10-01,155,69,47,-8,47,4:17,4,41
490,Shame,Matchbox Twenty,1996-10-01,126,68,55,-9,38,3:35,0,44
491,Hang,Matchbox Twenty,1996-10-01,154,30,54,-13,25,3:47,63,50
492,Here's to the Night,Eve 6,2000,97,65,58,-6,35,4:10,4,60
493,Always This Late,ODESZA,2015-09-18,170,59,54,-9,35,2:41,1,47
494,Say My Name (feat. Zyra),ODESZA,2015-09-18,115,74,75,-7,37,4:23,0,48
495,Bloom,ODESZA,2015-09-18,130,59,56,-7,9,3:16,1,49
496,All We Need (feat. Shy Girls),ODESZA,2015-09-18,100,85,64,-5,30,3:31,0,48
497,Sundara,ODESZA,2015-09-18,120,69,59,-10,13,2:16,5,47
498,White Lies (feat. Jenni Potts),ODESZA,2015-09-18,90,54,60,-9,12,4:37,4,46
499,Kusanagi,ODESZA,2015-09-18,75,33,41,-8,4,3:28,48,46
500,Echoes (feat. Py),ODESZA,2015-09-18,140,52,52,-9,7,4:24,0,44
501,It’s Only (feat. Zyra),ODESZA,2015-09-18,120,59,40,-11,10,4:28,17,48
502,Koto,ODESZA,2015-09-18,100,65,52,-7,10,3:14,1,45
503,Memories That You Call (feat. Monsoonsiren),ODESZA,2015-09-18,120,55,61,-8,18,4:08,45,45
504,Sun Models (feat. Madelyn Grant),ODESZA,2015-09-18,120,48,68,-9,45,2:40,19,45
505,For Us (feat. Briana Marela),ODESZA,2015-09-18,110,56,46,-8,5,5:49,10,42
506,Light (feat. Little Dragon),ODESZA,2015-09-18,133,63,57,-8,25,4:14,55,53
507,"Liz On Top Of The World - From ""Pride & Prejudice"" Soundtrack",Dario Marianelli,2005-01-01,79,13,19,-21,4,1:23,97,56
508,"A Postcard to Henry Purcell - From ""Pride & Prejudice"" Soundtrack",Dario Marianelli,2005-01-01,83,2,30,-26,60,2:39,98,50
509,On My Mind,Ellie Goulding,2015-09-17,155,69,70,-7,74,3:33,27,14
510,Hotline Bling,Drake,2015-07-31,135,62,90,-8,59,4:27,0,14
511,Stressed Out,Twenty One Pilots,2015-05-15,170,64,73,-6,65,3:22,5,85
512,Song For A Young Queen,Chris Thile,2001-01-01,113,72,43,-8,54,5:27,63,22
513,Wolfcreek Pass,Chris Thile,2001-01-01,137,86,32,-6,92,4:18,34,18
514,Raining At Sunset,Chris Thile,2001-01-01,107,54,39,-11,59,7:21,73,28
515,Riddles In The Dark,Chris Thile,2001-01-01,122,56,47,-11,97,3:25,94,16
516,Sinai To Canaan (Part I),Chris Thile,2001-01-01,133,30,50,-12,30,7:19,81,16
517,Sinai To Canaan (Part II),Chris Thile,2001-01-01,94,62,33,-10,77,3:58,83,15
518,Club G.R.O.S.S.,Chris Thile,2001-01-01,95,33,61,-12,32,5:47,69,15
519,You Deserve Flowers,Chris Thile,2001-01-01,108,19,45,-18,43,3:20,97,15
520,Eureka!,Chris Thile,2001-01-01,134,71,31,-9,96,3:46,64,16
521,Big Sam Thompson,Chris Thile,2001-01-01,142,51,36,-10,52,5:15,76,25
522,Bridal Veil Falls,Chris Thile,2001-01-01,101,56,52,-9,85,4:53,67,19
523,Laurie De' Tullins,Chris Thile,2001-01-01,123,32,51,-15,38,5:15,96,18
524,Song Up In Her Head,Sarah Jarosz,2009-01-01,91,59,52,-8,51,2:43,84,28
525,Edge Of A Dream,Sarah Jarosz,2009-01-01,108,24,43,-12,14,3:42,93,27
526,Tell Me True,Sarah Jarosz,2009-01-01,190,36,27,-8,40,4:08,86,33
527,Mansinneedof,Sarah Jarosz,2009-01-01,131,42,60,-8,61,2:51,92,27
528,I Can't Love You Now,Sarah Jarosz,2009-01-01,124,34,43,-10,38,2:34,82,26
529,Broussard's Lament,Sarah Jarosz,2009-01-01,122,47,44,-8,14,3:36,69,25
530,Fischer Store Road,Sarah Jarosz,2009-01-01,139,53,51,-11,78,2:18,87,25
531,Left Home,Sarah Jarosz,2009-01-01,151,58,42,-8,61,3:24,33,23
532,Shankill Butchers,Sarah Jarosz,2009-01-01,88,24,44,-10,10,4:22,85,32
533,Can't Hide,Sarah Jarosz,2009-01-01,121,36,40,-9,36,3:12,92,25
534,Long Journey,Sarah Jarosz,2009-01-01,124,22,53,-12,14,5:17,97,28
535,Come On Up To The House,Sarah Jarosz,2009-01-01,115,30,77,-9,51,4:28,56,38
536,Little Song,Sarah Jarosz,2009-01-01,141,14,60,-16,31,2:49,99,24
537,Over The Edge,Sarah Jarosz,2013-01-01,133,64,56,-8,57,3:20,2,33
538,Fuel The Fire,Sarah Jarosz,2013-01-01,124,55,53,-8,62,3:32,86,36
539,Mile On The Moon,Sarah Jarosz,2013-01-01,116,48,53,-9,38,3:49,16,33
540,Build Me Up From Bones,Sarah Jarosz,2013-01-01,115,29,52,-12,28,3:36,86,64
541,Dark Road,Sarah Jarosz,2013-01-01,96,39,40,-10,22,3:32,83,33
542,Simple Twist Of Fate,Sarah Jarosz,2013-01-01,120,8,69,-17,25,4:53,94,36
543,"1,000 Things",Sarah Jarosz,2013-01-01,81,34,46,-12,16,3:28,80,30
544,Gone Too Soon,Sarah Jarosz,2013-01-01,92,28,44,-10,13,3:35,83,31
545,Anything Else,Sarah Jarosz,2013-01-01,78,24,36,-11,17,4:57,84,29
546,The Book Of Right-On,Sarah Jarosz,2013-01-01,128,11,57,-13,42,5:36,84,39
547,Rearrange The Art,Sarah Jarosz,2013-01-01,113,31,47,-11,10,3:50,95,28
548,Starting,Matt Pond PA,2010-04-13,177,54,55,-7,80,3:51,38,21
549,Running Wild,Matt Pond PA,2010-04-13,90,85,45,-3,52,4:21,2,15
550,Specks,Matt Pond PA,2010-04-13,91,55,47,-7,14,3:50,65,42
551,Remains,Matt Pond PA,2010-04-13,88,50,55,-8,29,5:36,35,19
552,Sparrows,Matt Pond PA,2010-04-13,90,65,54,-6,54,2:50,56,16
553,Brooklyn Fawn,Matt Pond PA,2010-04-13,137,44,51,-10,24,3:56,67,18
554,Ruins,Matt Pond PA,2010-04-13,136,86,61,-4,77,3:47,31,14
555,Winter Fawn,Matt Pond PA,2010-04-13,96,33,13,-14,4,5:16,86,13
556,The Dark Leaves Theme,Matt Pond PA,2010-04-13,129,56,65,-7,26,3:30,41,13
557,First Song,Matt Pond PA,2010-04-13,93,34,29,-11,32,2:36,35,12
558,Let Me Live,Matt Pond PA,2013-02-05,156,79,46,-5,63,3:40,24,0
559,Love to Get Used,Matt Pond PA,2013-02-05,150,77,60,-4,78,3:29,1,3
560,Starlet,Matt Pond PA,2013-02-05,120,78,65,-6,69,3:53,3,0
561,When The Moon Brings The Silver,Matt Pond PA,2013-02-05,124,61,64,-6,71,3:09,21,0
562,Go Where The Leaves Go,Matt Pond PA,2013-02-05,172,72,46,-5,46,3:43,23,0
563,Bring Back The Orchestra,Matt Pond PA,2013-02-05,98,46,62,-7,62,3:08,46,0
564,Hole In My Heart,Matt Pond PA,2013-02-05,148,68,56,-7,28,3:19,5,0
565,Human Beings,Matt Pond PA,2013-02-05,139,65,58,-7,40,3:49,75,0
566,The Lives Inside The Lines In Your Hand,Matt Pond PA,2013-02-05,175,84,42,-6,23,4:28,15,0
567,Strafford,Matt Pond PA,2013-02-05,140,46,69,-9,69,2:47,41,0
568,Watch 'At Breakdown,Chris Thile,2006-01-01,153,47,33,-13,56,4:14,95,26
569,Dead Leaves And The Dirty Ground,Chris Thile,2006-01-01,90,53,61,-11,88,3:07,82,41
570,Stay Away,Chris Thile,2006-01-01,107,6,51,-19,16,3:56,95,22
571,O Santo De Polvora,Chris Thile,2006-01-01,117,53,55,-13,93,2:38,90,21
572,Wayside (Back In Time),Chris Thile,2006-01-01,162,66,42,-10,82,2:45,88,27
573,"You're An Angel, And I'm Gonna Cry",Chris Thile,2006-01-01,93,4,43,-20,29,2:58,92,22
574,How To Grow A Woman From The Ground,Chris Thile,2006-01-01,112,18,59,-16,28,5:09,93,27
575,The Beekeeper,Chris Thile,2006-01-01,152,38,33,-16,32,4:07,96,22
576,Brakeman's Blues,Chris Thile,2006-01-01,121,66,55,-10,88,3:42,80,23
577,If The Sea Was Whiskey,Chris Thile,2006-01-01,139,4,44,-15,29,2:44,86,21
578,Cazadero,Chris Thile,2006-01-01,123,66,48,-12,96,3:34,88,22
579,Heart In A Cage,Chris Thile,2006-01-01,138,43,50,-10,49,4:23,87,45
580,I'm Yours If You Want Me,Chris Thile,2006-01-01,90,1,54,-21,24,3:49,97,21
581,The Eleventh Reel,Chris Thile,2006-01-01,128,56,35,-15,69,3:28,93,22
582,The Wrong Idea,Chris Thile,2004-01-01,81,28,63,-6,17,2:38,73,15
583,On Ice,Chris Thile,2004-01-01,160,55,36,-7,23,3:52,51,18
584,Locking Doors,Chris Thile,2004-01-01,86,39,48,-8,21,2:44,44,12
585,Waltz For Dewayne Pomeroy,Chris Thile,2004-01-01,100,15,66,-15,60,3:03,97,14
586,Empire Falls,Chris Thile,2004-01-01,147,84,61,-4,69,2:58,3,11
587,I'm Nowhere And You're Everything,Chris Thile,2004-01-01,133,32,65,-11,23,5:55,87,18
588,Jessamyn's Reel,Chris Thile,2004-01-01,115,30,76,-14,98,1:54,99,19
589,The Believer,Chris Thile,2004-01-01,92,63,69,-6,59,2:36,49,11
590,This Is All Real,Chris Thile,2004-01-01,175,28,27,-12,18,3:27,90,14
591,Ready For Anything,Chris Thile,2004-01-01,107,14,76,-12,53,5:16,93,11
592,Attaboy,Stuart Duncan,2011-10-21,126,39,40,-11,59,5:43,83,45
593,You Are,Punch Brothers,2010-06-11,127,28,60,-14,17,5:06,61,32
594,Don't Need No,Punch Brothers,2010-06-11,111,30,55,-16,54,4:29,64,30
595,Alex,Punch Brothers,2010-06-11,84,12,67,-16,35,5:00,84,31
596,Rye Whiskey,Punch Brothers,2010-06-11,112,45,63,-12,46,3:29,53,47
597,Me and Us,Punch Brothers,2010-06-11,127,20,47,-19,19,6:02,81,29
598,Missy,Punch Brothers,2010-06-11,114,14,55,-18,13,3:54,81,32
599,The Woman and the Bell,Punch Brothers,2010-06-11,79,31,34,-16,16,4:06,72,28
600,Next to the Trash,Punch Brothers,2010-06-11,96,37,60,-15,80,3:05,76,30
601,Welcome Home,Punch Brothers,2010-06-11,138,18,56,-16,14,6:39,80,27
602,Emoticons,The Wombats,2015-04-14,101,71,61,-4,51,4:19,1,45
603,Give Me A Try,The Wombats,2015-04-14,136,92,62,-3,68,3:48,0,52
604,Greek Tragedy,The Wombats,2015-04-14,93,87,52,-5,45,3:30,0,58
605,Be Your Shadow,The Wombats,2015-04-14,125,97,64,-3,55,3:36,3,46
606,Headspace,The Wombats,2015-04-14,114,91,59,-5,33,3:54,1,39
607,This Is Not A Party,The Wombats,2015-04-14,123,87,60,-4,79,2:59,0,37
608,Isabel,The Wombats,2015-04-14,148,46,50,-9,36,3:29,50,39
609,Your Body Is A Weapon,The Wombats,2015-04-14,104,95,50,-3,36,3:58,0,46
610,The English Summer,The Wombats,2015-04-14,164,96,27,-5,30,2:37,0,36
611,Pink Lemonade,The Wombats,2015-04-14,144,96,56,-4,82,3:46,0,50
612,Curveballs,The Wombats,2015-04-14,111,89,60,-4,47,3:40,1,38
613,Sex and Question Marks - Bonus Track,The Wombats,2015-04-14,102,85,58,-5,90,2:19,13,37
614,Flowerball - Bonus Track,The Wombats,2015-04-14,140,90,51,-3,72,3:48,5,36
615,Let It Happen,Tame Impala,2015-07-17,125,88,60,-6,58,7:48,0,74
616,Nangs,Tame Impala,2015-07-17,168,53,54,-10,43,1:48,16,62
617,The Moment,Tame Impala,2015-07-17,119,83,55,-6,45,4:15,0,67
618,Yes I'm Changing,Tame Impala,2015-07-17,180,61,37,-7,35,4:31,11,69
619,Eventually,Tame Impala,2015-07-17,78,62,42,-6,16,5:19,2,68
620,Gossip,Tame Impala,2015-07-17,119,21,55,-18,35,0:55,97,59
621,The Less I Know The Better,Tame Impala,2015-07-17,117,74,64,-4,79,3:36,1,82
622,Past Life,Tame Impala,2015-07-17,146,78,37,-7,29,3:48,21,62
